Predicted labels before feature engineering,Predicted labels after feature engineering,No of new features,feature_36,feature_44,feature_60,feature_102,feature_113,feature_117,feature_143,feature_178,feature_201,feature_209,feature_219,feature_233
1,1,12.0,1.681010127,-2.880707502,-0.82271415,-0.115634851,-3.009860516,-0.446569532,0.188329875,1.545402765,-0.379734397,1.508700371,-0.703973353,-0.037237667
1,1,,3.269115925,-1.843358994,-1.472787023,1.450815916,-2.233244181,1.73809135,1.994243264,1.245048046,0.339953721,1.382732987,1.328858972,0.471877515
1,1,,3.43641305,-2.667107821,-1.451072931,1.586289406,-2.454773426,0.810389817,1.326967835,-1.524013162,-0.056286499,1.817715645,0.270568997,0.470121652
1,1,,3.52446866,-2.529229879,-0.540403664,2.889846802,-1.397477031,0.066739649,2.231530428,0.430721551,0.31334132,2.110728502,-0.974387825,1.719265103
1,1,,1.47147882,-1.74018538,0.002882242,0.240543053,-2.282817125,-0.789587498,2.367822409,0.499309868,-0.35115537,0.755496979,-0.261384994,1.012408376
1,1,,2.734590054,-3.833184958,-1.631352186,0.279025406,-3.66951108,0.550649822,1.040434837,0.401867926,0.505527079,1.243759394,-0.846118033,2.080066919
1,1,,0.005503407,-0.858870208,-0.266196638,-0.749067545,0.192261577,-1.305927157,0.439022064,1.216822028,-0.129721105,1.980628252,-1.406999946,3.425981045
1,1,,1.365923166,-1.895848632,-1.089828253,-0.368708104,1.167556763,-0.120181754,1.13089478,2.279495716,0.373552293,2.573209047,-0.617209196,3.78967905
1,1,,1.548211217,-2.161113024,-1.834380388,0.043564823,0.18449834,0.792764723,0.76963526,-0.41972059,-0.123532161,1.431697369,-0.598621488,1.487728357
1,1,,0.448110878,-0.931613147,-0.701540291,-0.898609757,0.373501867,-1.345404148,0.386874497,1.423457503,-0.179220796,1.9866364,-1.758693576,3.235157728
1,1,,2.471619844,-3.038191557,-0.888614953,-0.058281247,-2.433747292,-1.82094717,0.368457377,-1.71920228,-0.363554478,-0.090500556,-0.574419856,1.154081345
1,1,,0.863378882,-1.281191707,-2.479742765,-0.693314612,-0.174889743,-0.125403449,1.476856112,-1.37710619,-1.4664886,1.03124094,0.369913518,1.660666943
1,1,,-0.891313553,-0.566909134,0.233045742,-2.871775389,-2.721355438,-2.444947481,2.771151066,-0.893180251,-0.384705782,0.1106195,-1.67812252,1.180340052
1,1,,1.570665956,-1.113544464,-0.844672084,-0.603757381,-0.121810883,-0.592068195,1.847617626,0.329061002,-1.355265737,1.105528355,0.217147231,3.604741335
1,1,,2.056936741,-2.55306077,-0.345121533,-0.89143765,-2.620423794,-0.730386317,0.040696859,0.108879633,-0.217918321,1.200788379,-1.396950126,0.693017662
1,1,,0.029720033,-1.790488362,-0.218333483,-2.245462656,-1.843680382,-2.462023735,2.499296904,0.715083659,-0.958488584,1.057678938,-0.840083361,1.473033667
1,1,,-0.244669378,-2.329817295,-0.122677699,-0.948402822,-2.074864626,-1.360678315,1.385758281,-1.921752691,1.745245457,0.42723605,-1.857682347,0.76244998
1,1,,0.146800071,-1.510537982,-1.502257586,-2.944290638,-0.684148073,-1.499885082,1.553063989,-1.507804394,-0.998544037,0.413786799,-1.366037488,1.769960284
0,0,,-1.582260251,0.023040516,0.609419227,-2.691942453,1.653349996,3.418008089,0.066468976,-1.234838605,-2.188997507,2.326996326,-0.990781665,-3.768992662
0,0,,-1.484307289,0.876173139,1.351451516,-3.076218843,1.481467724,2.601448536,-0.411966443,-1.384033084,-1.16211915,2.11977458,-0.375633955,-3.29289794
0,0,,-2.660866976,0.941241801,1.369201183,-4.633483887,1.739355803,0.947694898,-3.182028532,-3.298495293,0.614784718,0.533798337,-4.419837475,-2.805642366
0,0,,-1.721473217,0.18595238,1.342724681,-3.339125633,1.908089519,1.387780905,-2.642572641,-1.432688236,1.129302382,1.800367355,-3.395159245,-1.252371788
