Predicted labels before feature engineering,Predicted labels after feature engineering,No of new features,feature_15,feature_24,feature_26,feature_30,feature_35,feature_36,feature_38,feature_44,feature_58,feature_60,feature_63,feature_93,feature_97,feature_99,feature_102,feature_113,feature_117,feature_128,feature_143,feature_160,feature_168,feature_178,feature_182,feature_189,feature_201,feature_207,feature_213,feature_219,feature_223,feature_227,feature_233,feature_244
6,6,32.0,0.518410921,-2.638312101,3.585334301,-0.340776771,0.266292095,1.681010127,2.067512035,-2.880707502,0.735607386,-0.82271415,-0.718918025,2.774698734,-1.136554122,1.902969122,-0.115634851,-3.009860516,-0.446569532,-0.558375835,0.188329875,1.752517343,-0.793850958,1.545402765,1.15307796,-2.292039394,-0.379734397,0.22915341,-1.408269286,-0.703973353,-1.11600554,0.977636993,-0.037237667,2.971231699
6,6,,0.80002141,-1.772872329,5.167936325,0.503604352,-1.298550844,3.269115925,0.079244003,-1.843358994,1.57341218,-1.472787023,-1.786027074,2.843603611,0.766686976,0.387435317,1.450815916,-2.233244181,1.73809135,1.622936368,1.994243264,2.191496372,2.511837006,1.245048046,2.729513884,-2.218467951,0.339953721,-0.266164899,-1.542379379,1.328858972,-1.682626367,3.056122303,0.471877515,1.598861098
6,6,,-0.626608193,-0.951067686,5.07687521,-0.265133619,-0.182866812,3.43641305,-0.415622443,-2.667107821,0.548439503,-1.451072931,-1.375602365,0.983234823,-0.756478369,0.928647399,1.586289406,-2.454773426,0.810389817,2.188276291,1.326967835,1.444193602,1.248228908,-1.524013162,3.501541853,-1.175321102,-0.056286499,0.243108824,-1.833679438,0.270568997,-1.820370674,-0.087057739,0.470121652,0.855147719
6,6,,1.915312409,-2.279987335,3.094990492,0.591319501,-0.716867268,3.52446866,0.384133577,-2.529229879,-0.65290302,-0.540403664,-1.391472816,0.105900683,-0.21773608,0.862429559,2.889846802,-1.397477031,0.066739649,2.414518118,2.231530428,2.423027277,0.095413484,0.430721551,1.30478251,-1.837382197,0.31334132,1.315077424,-2.025720358,-0.974387825,0.271379799,1.110298634,1.719265103,1.400525451
6,6,,-0.146329239,0.288694143,2.959776163,0.539797544,-0.318223596,1.47147882,-1.644137383,-1.74018538,0.924705029,0.002882242,-0.44256568,2.888189316,0.023984889,0.883026361,0.240543053,-2.282817125,-0.789587498,2.806440353,2.367822409,0.831434548,-0.29136765,0.499309868,1.454729199,-2.691329718,-0.35115537,-0.547164381,-1.785038948,-0.261384994,0.219413415,3.408525467,1.012408376,3.686253786
6,6,,0.035841666,-2.563009501,1.526542544,-0.785019636,1.43606019,2.734590054,0.43740201,-3.833184958,1.802670956,-1.631352186,-1.741062522,0.80883646,-0.304025263,-0.216543868,0.279025406,-3.66951108,0.550649822,1.017779469,1.040434837,1.979232311,-1.886058211,0.401867926,0.824487746,-0.13394928,0.505527079,-0.428102791,-0.899203658,-0.846118033,0.150686219,1.243792176,2.080066919,1.425339222
6,6,,-1.284694672,0.18080169,0.897846103,0.065885894,-1.595597267,0.005503407,-1.487420917,-0.858870208,1.744367719,-0.266196638,-1.620424867,0.659106195,1.304523945,0.447439551,-0.749067545,0.192261577,-1.305927157,0.867483437,0.439022064,1.871884465,-0.102437161,1.216822028,0.5801543,-0.69464159,-0.129721105,0.314184517,-0.598081648,-1.406999946,-0.186332136,1.328465104,3.425981045,0.924002349
6,6,,-1.029112577,-1.747756243,0.003115384,-0.570220292,-1.284647584,1.365923166,-1.592760324,-1.895848632,0.351888597,-1.089828253,-0.888787508,0.472516835,2.77289176,-0.122579023,-0.368708104,1.167556763,-0.120181754,1.030679345,1.13089478,1.629270554,-0.471912652,2.279495716,0.031992976,-0.4048675,0.373552293,-0.403202742,-0.060236931,-0.617209196,-0.116721801,1.298728704,3.78967905,1.107498288
6,6,,-2.240958452,0.787497878,1.02878511,-0.877010763,-0.013814891,1.548211217,-0.379879922,-2.161113024,2.079150915,-1.834380388,-1.956433892,0.180861399,2.744758129,-0.417133212,0.043564823,0.18449834,0.792764723,0.286871523,0.76963526,1.992161512,-1.095384002,-0.41972059,2.489588976,-0.957157671,-0.123532161,-0.618417859,0.105039053,-0.598621488,-1.513022065,0.529348791,1.487728357,0.657610536
6,6,,-0.142067239,-0.393150896,1.041498899,-1.030179858,-1.659057736,0.448110878,-0.875225008,-0.931613147,2.609577656,-0.701540291,-0.810078144,0.150663316,2.21923089,0.410267472,-0.898609757,0.373501867,-1.345404148,1.667120934,0.386874497,2.337483883,0.160053104,1.423457503,0.493378758,-0.288242847,-0.179220796,0.742554247,0.1504464,-1.758693576,0.273273706,1.202336073,3.235157728,1.266283989
6,6,,-1.421777844,0.206397116,0.134797394,-0.96796453,0.020000366,2.471619844,-0.428327054,-3.038191557,0.369363844,-0.888614953,-1.26353395,-0.681950331,-0.560484767,0.036389552,-0.058281247,-2.433747292,-1.82094717,-1.247977734,0.368457377,0.493880808,-0.15564248,-1.71920228,2.964644194,-1.134523869,-0.363554478,0.125860944,-0.268827468,-0.574419856,-0.309884906,0.922122896,1.154081345,1.891137481
6,6,,-2.054254532,1.098562002,1.324399352,-0.604549408,-0.642327189,0.863378882,0.00212083,-1.281191707,3.16986227,-2.479742765,-2.164253473,0.992867649,1.913094521,0.459032565,-0.693314612,-0.174889743,-0.125403449,-0.469066411,1.476856112,1.499455452,-0.659410954,-1.37710619,1.573355198,-0.199479923,-1.4664886,-0.55983609,-0.590716422,0.369913518,-1.18882823,0.972132444,1.660666943,1.65015924
6,6,,-0.35440743,2.251584291,4.110263348,1.511962056,-1.176233292,-0.891313553,-0.026331298,-0.566909134,1.50395298,0.233045742,1.075088859,2.865972281,0.710677683,-1.184067488,-2.871775389,-2.721355438,-2.444947481,-1.772892833,2.771151066,3.998189211,-1.759214044,-0.893180251,1.038277864,-2.531216145,-0.384705782,0.038726777,-2.409537554,-1.67812252,0.631945848,3.877004623,1.180340052,3.104177713
6,6,,-2.663613081,1.431143641,0.932863414,1.233395338,-0.546644032,1.570665956,-2.710646629,-1.113544464,-0.507750392,-0.844672084,-1.397646666,0.804509938,1.056947947,-1.011354566,-0.603757381,-0.121810883,-0.592068195,-0.022284754,1.847617626,1.406822205,-1.192753911,0.329061002,1.825400233,-0.437984049,-1.355265737,-0.308785528,-0.75587213,0.217147231,-0.188391581,3.333729029,3.604741335,1.974425435
6,6,,-1.280978322,0.138114184,0.557287991,-0.424887121,-0.426512241,2.056936741,0.182155579,-2.55306077,-0.030316932,-0.345121533,-1.014410377,0.754134715,-0.687094569,0.316159695,-0.89143765,-2.620423794,-0.730386317,-0.846928954,0.040696859,0.508876622,-0.411352485,0.108879633,1.784730554,-0.319822311,-0.217918321,-0.206880495,-0.205876216,-1.396950126,-0.676377296,1.39524591,0.693017662,1.723916411
6,6,,-0.968603134,1.62999928,2.610393763,1.763874054,-1.12851882,0.029720033,-1.012722492,-1.790488362,0.22562395,-0.218333483,0.278943986,2.309373856,0.419384122,-1.813324928,-2.245462656,-1.843680382,-2.462023735,-0.897169948,2.499296904,3.189140558,-1.935547948,0.715083659,1.271470308,-1.785939217,-0.958488584,-0.960570514,-1.771653414,-0.840083361,-0.634960055,3.05410552,1.473033667,2.876100063
